Location,Size,Price (CZK),Link,Total price,Order ID,Update,Building,Property status,Ownership,Property location,Floor,Usable area,Floorage,Balcony,Move-in date,Water,Heating,Gas,Electricity,Transportation,Energy Performance Rating,Energy Performance Certificate,Loft,Furnished,Elevator,Flat type,Terrace,Cellar,Parking,Energy Performance Indicator,Price,Garden area,Cost of living,Garage,Barrier-free access,Loggia,Reconstruction year,Waste,Telecommunications,Annuity,Acquisition of title,Final building approval year,Road,Built-up area,Construction completion date,Note on the price,ID,Discounted,Original cost,Sales commencement date,Visit site date,Visit site date to,Basin area,Basin,Status,Ceiling height,Share size,Number of owners,Starting price,Expert judgement,Minimum Bid,Auction principal,Type of auction,Venue auction,Auction sale date,1st site visit date,2nd site visit date,Advertisement of auction,Number of flats,Share size of common area
"U nové dálnice, Praha 4 - Chodov",For sale apartment 5+kt 194 m² (Mezonet),15900000,https://www.sreality.cz/en/detail/sale/flat/5+kt/praha-chodov-u-nove-dalnice/30708300,15 900 000 CZK per property,VK3474862,01.10.2024,Brick,In very good condition,Personal,,1. floor of total 3,194 m2,194 m2,,Immediately,Water supply,Central gas,Gas pipeline,,"Highway, Urban public transportation, Bus",Class D Coll. 264/2020 complying with,,,Partially,,Mezonet,,,2,,,74 m2,,,,,,Sewerage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anastázova, Praha 6 - Břevnov",For sale apartment 2+1 63 m²,7990000,https://www.sreality.cz/en/detail/sale/flat/2+1/praha-brevnov-anastazova/4171862604,7 990 000 CZK per property,2779,19.09.2024,Panel,In good condition,Personal,Housing development,4. floor of total 6,63 m2,,,,Water supply,,Gas pipeline,230 V,"Train, Highway, Urban public transportation, Bus",Class C,,,,,,,3 m2,,,,,,,,6 m2,,Sewerage,"Internet, Cable TV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mezi Vodami, Praha 4 - Modřany",For sale apartment 1+kt 30 m²,5265792,https://www.sreality.cz/en/detail/sale/flat/1+kt/praha-modrany-mezi-vodami/2959889740,5 265 792 CZK per property,605980,18.09.2024,Framed structure,New homes,Personal,Municipality centre,9. floor of total 14,30 m2,30 m2,8 m2,Immediately,,,,,,Class B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Čenětická, Praha 4 - Chodov",For sale apartment 1+kt 23 m²,3550000,https://www.sreality.cz/en/detail/sale/flat/1+kt/praha-chodov-ceneticka/2091430476,3 550 000 CZK per property,N106286,16.09.2024,Panel,In very good condition,Personal,Quiet part of municipality,3. floor of total 8,23 m2,23 m2,,,Water supply,Central gas,,,Urban public transportation,Class C Coll. 78/2013 complying with,,,,,,,,,,,,,,,,,Sewerage,,,,2024,Asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baarova, Praha 4 - Michle",For sale apartment 2+kt 60 m²,8000000,https://www.sreality.cz/en/detail/sale/flat/2+kt/praha-michle-baarova/2955412812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pod Havránkou, Praha 7 - Troja",For sale apartment 1+kt 35 m²,8250000,https://www.sreality.cz/en/detail/sale/flat/1+kt/praha-troja-pod-havrankou/1726498124,8 250 000 CZK per property,61699,21.09.2024,Brick,New homes,Personal,,1. floor of total 4 including 1 underground,35 m2,,,Immediately,Water supply,Central gas,Gas pipeline,230 V,"Road, Urban public transportation, Bus",Class B,Open Energy Performance Certificate,,Partially,,,,14 m2,1,,,,,,,,,Sewerage,"Phone, Internet, Cable distribution",,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Na Břehu, Praha 9 - Vysočany",For sale apartment 1+1 57 m²,5800000,https://www.sreality.cz/en/detail/sale/flat/1+1/praha-vysocany-na-brehu/1548915276,5 800 000 CZK per property,R519406,16.09.2024,Brick,In good condition,Personal,,4. floor of total 5,57 m2,57 m2,,Immediately,Water supply,Local gas,Gas pipeline,230 V,"Train, Road, Urban public transportation, Bus",Class F Coll. 264/2020 complying with,Open Energy Performance Certificate,,,,,,,,215.0 kWh/m^2 /year,,,,,,,,Sewerage,"Internet, Cable TV",,,,Asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,
"V Štíhlách, Praha 4 - Krč",For sale apartment 3+kt 93 m²,12590000,https://www.sreality.cz/en/detail/sale/flat/3+kt/praha-krc-v-stihlach/3168040268,12 590 000 CZK per property (k jednání),V-2406,Today,Brick,In very good condition,Personal,,10. floor of total 13,93 m2,84 m2,,Immediately,,Central district heating,,,Urban public transportation,Class C Coll. 78/2013 complying with,,,,,,,,,,,,"5 200,- Kč poplatky / 3 osoby + el. energie",,,,,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Olgy Havlové, Praha 3 - Žižkov",For sale apartment 2+kt 46 m²,7600000,https://www.sreality.cz/en/detail/sale/flat/2+kt/praha-zizkov-olgy-havlove/1970442828,7 600 000 CZK per property,01401,Yesterday,Mixed,New homes,Personal,,3. floor,46 m2,,11 m2,,,,,,Urban public transportation,Class B Coll. 78/2013 complying with,Open Energy Performance Certificate,,,,,,,,100.0 kWh/m^2 /year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hekrova, Praha 4 - Háje",For sale apartment 3+1 72 m²,6900000,https://www.sreality.cz/en/detail/sale/flat/3+1/praha-haje-hekrova/2460189260,6 900 000 CZK per property (k jednání),,Yesterday,Panel,In good condition,Cooperative,Quiet part of municipality,5. floor of total 9,72 m2,,,,Water supply,Central district heating,,230 V,,Class C,,,,,,,,,,,,,,,6 m2,,Sewerage,,,,,Asphalt,,,,2460189260,,,,,,,,,,,,,,,,,,,,,,,
